"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\Templates.js", "JavaScript", 0, 130, 0, 0, 0, 0, 1, 8, 139
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\[id]\index.js", "JavaScript", 0, 90, 0, 0, 0, 0, 52, 10, 152
"c:\Users\Dev\Desktop\ClassHQ\pages\EducatorDashboard\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Dev\Desktop\ClassHQ\pages\Login.js", "JavaScript", 0, 39, 0, 0, 0, 0, 6, 4, 49
"c:\Users\Dev\Desktop\ClassHQ\pages\_app.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 3, 21
"c:\Users\Dev\Desktop\ClassHQ\pages\api\auth\[...nextauth].js", "JavaScript", 0, 21, 0, 0, 0, 0, 2, 5, 28
"c:\Users\Dev\Desktop\ClassHQ\pages\api\hello.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Dev\Desktop\ClassHQ\pages\index.js", "JavaScript", 0, 71, 0, 0, 0, 0, 6, 14, 91
"c:\Users\Dev\Desktop\ClassHQ\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Dev\Desktop\ClassHQ\public\dashboard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Dev\Desktop\ClassHQ\public\girl.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Dev\Desktop\ClassHQ\public\vercel.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Dev\Desktop\ClassHQ\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dev\Desktop\ClassHQ\styles\globals.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Dev\Desktop\ClassHQ\tailwind.config.js", "JavaScript", 0, 76, 0, 0, 0, 0, 1, 1, 78
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Authentication-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Course-test.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Dashboard-test.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\ImageImport-test.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Livestream-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Student-test.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\TemplateForm-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\Webiste-test.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Dev\Desktop\ClassHQ\tests\pages\Educatordashboard\index-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"Total", "-", 20, 7133, 1109, 18174, 5, 3, 1286, 1067, 28797
